ID,FaceID,FirstRating,GroupRating,SecondRating,Feedback,Change,Condition
17,28,6,4,5,-2,-1,Pre
17,29,6,3,6,-3,0,Pre
17,3,6,4,5,-2,-1,Pre
17,30,5,5,5,0,0,Pre
17,31,5,5,4,0,-1,Pre
17,32,3,5,3,2,0,Pre
17,33,3,1,3,-2,0,Pre
17,34,6,6,5,0,-1,Pre
17,35,6,4,6,-2,0,Pre
17,36,3,5,3,2,0,Pre
17,37,6,6,6,0,0,Pre
17,38,2,4,3,2,1,Pre
17,39,4,7,5,3,1,Pre
17,4,6,4,5,-2,-1,Pre
17,40,5,3,5,-2,0,Pre
17,41,6,4,6,-2,0,Pre
17,42,3,3,3,0,0,Pre
17,43,6,0,6,NA,0,Pre
17,44,5,8,4,3,-1,Pre
17,45,4,1,5,-3,1,Pre
17,46,5,0,4,NA,-1,Pre
17,47,7,4,6,-3,-1,Pre
17,48,5,0,5,NA,0,Pre
17,49,4,6,4,2,0,Pre
17,5,5,8,5,3,0,Pre
17,50,5,5,6,0,1,Pre
17,51,4,2,4,-2,0,Pre
17,52,5,7,5,2,0,Pre
17,53,5,5,4,0,-1,Pre
17,54,5,7,5,2,0,Pre
17,55,5,8,5,3,0,Pre
17,56,7,5,7,-2,0,Pre
17,57,4,0,2,NA,-2,Pre
17,58,4,4,3,0,-1,Pre
17,59,5,8,5,3,0,Pre
17,6,5,3,4,-2,-1,Pre
17,60,4,2,4,-2,0,Pre
17,61,6,6,4,0,-2,Pre
17,62,3,1,3,-2,0,Pre
17,63,7,5,6,-2,-1,Pre
17,64,6,8,7,2,1,Pre
17,65,5,2,5,-3,0,Pre
17,66,3,0,5,NA,2,Pre
17,67,6,6,6,0,0,Pre
17,68,5,8,3,3,-2,Pre
17,69,6,3,5,-3,-1,Pre
17,7,6,6,5,0,-1,Pre
17,70,5,3,5,-2,0,Pre
17,71,7,7,6,0,-1,Pre
17,72,4,1,4,-3,0,Pre
17,73,2,2,2,0,0,Pre
17,74,5,0,5,NA,0,Pre
17,75,5,3,5,-2,0,Pre
17,76,5,8,6,3,1,Pre
17,77,6,3,5,-3,-1,Pre
17,78,2,4,2,2,0,Pre
17,79,6,0,6,NA,0,Pre
17,8,4,4,5,0,1,Pre
17,80,5,5,5,0,0,Pre
17,81,5,7,5,2,0,Pre
17,9,5,3,5,-2,0,Pre
18,10,5,2,6,-3,1,Pre
18,11,7,4,4,-3,-3,Pre
18,12,6,6,5,0,-1,Pre
18,13,3,6,2,3,-1,Pre
18,14,2,4,4,2,2,Pre
18,15,3,0,4,NA,1,Pre
18,16,3,6,4,3,1,Pre
18,17,2,5,4,3,2,Pre
18,18,5,8,6,3,1,Pre
18,19,3,1,3,-2,0,Pre
18,2,5,7,3,2,-2,Pre
18,20,6,3,6,-3,0,Pre
18,21,4,7,3,3,-1,Pre
18,22,2,4,3,2,1,Pre
18,23,3,3,5,0,2,Pre
18,24,7,7,7,0,0,Pre
18,25,5,0,5,NA,0,Pre
